n_persona;n_apaterno;n_amaterno;i_genero;d_nacimiento;e_email
Garrus;Vakarian;Gomez;M;1985-03-14;garrusv@turianmail.com
Liara;T'Soni;;F;1980-09-08;liara@shadowbroker.net
Tali'Zorah;Vas;Normandy;F;1989-06-16;tali@normandy.info
Wrex;Urdnot;;M;1980-11-27;papa-wrex@supermail.com
Ashley;Williams;Williams;F;1988-02-28;williams_ashley@alliance.net
Kaidan;Alenko;;M;1985-12-19;that-guy@alliance.net
Mordin;Solus;;M;1980-07-25;mordin@stg.gov
Miranda;Lawson;;F;1987-04-20;miranda@cerberus.com
Jacob;Taylor;Latrell;M;1986-01-12;jt_dawg@cerberus.com
Zaeed ;Massani;;M;1983-11-23;zaeed@bluesuns.org
Grunt;Urdnot;;M;1994-01-04;grent-bdass@supermail.com
Jack;Zero;;F;1988-05-10;jack-mofos@alliance.net
Legion;Wesker;;M;1985-03-26;legion@consensus.net
Samara;Justicar;;F;1985-03-27;samara@justicars.com
Thane;Krios;Senpai;M;1985-03-28;thane_k@killersearch.org
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
